Year,Ag District,County,Commodity,Value,Precipitation
2017,SOUTHWEST,CATTARAUGUS,CORN,150.7,
2017,SOUTHWEST,CHAUTAUQUA,CORN,176.1,
2017,SOUTHWEST,STEUBEN,CORN,156.9,
2017,WESTERN,ERIE,CORN,149,
2017,WESTERN,GENESEE,CORN,165.4,
2017,WESTERN,LIVINGSTON,CORN,152.8,
2017,WESTERN,MONROE,CORN,185.9,
2017,WESTERN,NIAGARA,CORN,176.2,
2017,WESTERN,ONTARIO,CORN,157.2,
2017,WESTERN,OTHER (COMBINED) COUNTIES,CORN,184.4,
2017,WESTERN,SENECA,CORN,170.8,
2017,WESTERN,WAYNE,CORN,177.1,
2017,WESTERN,WYOMING,CORN,164.1,
2016,CENTRAL,CAYUGA,CORN,141.2,2.657534247
2016,CENTRAL,CHENANGO,CORN,142.1,2.657534247
2016,CENTRAL,MADISON,CORN,149.7,2.657534247
2016,CENTRAL,ONEIDA,CORN,149.4,2.657534247
2016,CENTRAL,ONONDAGA,CORN,126.5,2.657534247
2016,CENTRAL,OSWEGO,CORN,145.9,2.657534247
2016,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,140,2.657534247
2016,CENTRAL,OTSEGO,CORN,151.8,2.657534247
2016,EASTERN,ALBANY,CORN,115.8,2.657534247
2016,EASTERN,MONTGOMERY,CORN,170.3,2.657534247
2016,EASTERN,OTHER (COMBINED) COUNTIES,CORN,93.3,2.657534247
2016,EASTERN,RENSSELAER,CORN,128.9,2.657534247
2016,EASTERN,SARATOGA,CORN,165.6,2.657534247
2016,EASTERN,SCHOHARIE,CORN,154.6,2.657534247
2016,EASTERN,WASHINGTON,CORN,131,2.657534247
2016,NORTHERN,JEFFERSON,CORN,118.1,2.657534247
2016,NORTHERN,LEWIS,CORN,151.6,2.657534247
2016,NORTHERN,ST LAWRENCE,CORN,139.3,2.657534247
2016,SOUTHEAST,COLUMBIA,CORN,119.6,2.657534247
2016,SOUTHEAST,DELAWARE,CORN,118.7,2.657534247
2016,SOUTHEAST,DUTCHESS,CORN,133,2.657534247
2016,SOUTHEAST,ORANGE,CORN,153.9,2.657534247
2016,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,137.5,2.657534247
2016,SOUTHEAST,ULSTER,CORN,126.2,2.657534247
2016,SOUTHWEST,ALLEGANY,CORN,107.4,2.657534247
2016,SOUTHWEST,CATTARAUGUS,CORN,156.5,2.657534247
2016,SOUTHWEST,CHAUTAUQUA,CORN,133,2.657534247
2016,SOUTHWEST,STEUBEN,CORN,102.5,2.657534247
2016,WESTERN,ERIE,CORN,120.8,2.657534247
2016,WESTERN,GENESEE,CORN,118.2,2.657534247
2016,WESTERN,LIVINGSTON,CORN,122.8,2.657534247
2016,WESTERN,MONROE,CORN,112.4,2.657534247
2016,WESTERN,NIAGARA,CORN,132.8,2.657534247
2016,WESTERN,ONTARIO,CORN,109.3,2.657534247
2016,WESTERN,OTHER (COMBINED) COUNTIES,CORN,122.2,2.657534247
2016,WESTERN,SENECA,CORN,96.3,2.657534247
2016,WESTERN,WAYNE,CORN,134.7,2.657534247
2016,WESTERN,WYOMING,CORN,148.6,2.657534247
2015,CENTRAL,CAYUGA,CORN,138.3,2.975342466
2015,CENTRAL,CORTLAND,CORN,132.4,2.975342466
2015,CENTRAL,HERKIMER,CORN,132.9,2.975342466
2015,CENTRAL,MADISON,CORN,120.6,2.975342466
2015,CENTRAL,ONEIDA,CORN,134.7,2.975342466
2015,CENTRAL,ONONDAGA,CORN,139.2,2.975342466
2015,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,129.7,2.975342466
2015,EASTERN,MONTGOMERY,CORN,142.9,2.975342466
2015,EASTERN,OTHER (COMBINED) COUNTIES,CORN,115.2,2.975342466
2015,EASTERN,RENSSELAER,CORN,152.9,2.975342466
2015,EASTERN,SARATOGA,CORN,161.4,2.975342466
2015,EASTERN,SCHOHARIE,CORN,135.7,2.975342466
2015,EASTERN,WASHINGTON,CORN,131.1,2.975342466
2015,LONG ISLAND,SUFFOLK,CORN,116.7,2.975342466
2015,NORTHERN,JEFFERSON,CORN,130,2.975342466
2015,NORTHERN,LEWIS,CORN,105,2.975342466
2015,NORTHERN,ST LAWRENCE,CORN,158.5,2.975342466
2015,SOUTHERN,BROOME,CORN,140,2.975342466
2015,SOUTHERN,OTHER (COMBINED) COUNTIES,CORN,137.1,2.975342466
2015,SOUTHERN,SCHUYLER,CORN,154.6,2.975342466
2015,SOUTHWEST,CATTARAUGUS,CORN,139.5,2.975342466
2015,SOUTHWEST,OTHER (COMBINED) COUNTIES,CORN,124,2.975342466
2015,SOUTHWEST,STEUBEN,CORN,149.3,2.975342466
2015,WESTERN,ERIE,CORN,127.9,2.975342466
2015,WESTERN,LIVINGSTON,CORN,139.1,2.975342466
2015,WESTERN,MONROE,CORN,156.6,2.975342466
2015,WESTERN,NIAGARA,CORN,162,2.975342466
2015,WESTERN,ONTARIO,CORN,140.8,2.975342466
2015,WESTERN,OTHER (COMBINED) COUNTIES,CORN,150.9,2.975342466
2015,WESTERN,SENECA,CORN,153.5,2.975342466
2015,WESTERN,WAYNE,CORN,147.9,2.975342466
2015,WESTERN,WYOMING,CORN,160,2.975342466
2015,WESTERN,YATES,CORN,156.3,2.975342466
2014,CENTRAL,CAYUGA,CORN,160.3,3.005479452
2014,CENTRAL,CORTLAND,CORN,136.4,3.005479452
2014,CENTRAL,MADISON,CORN,134.5,3.005479452
2014,CENTRAL,ONEIDA,CORN,151.8,3.005479452
2014,CENTRAL,ONONDAGA,CORN,151.2,3.005479452
2014,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,135.2,3.005479452
2014,CENTRAL,OTSEGO,CORN,143.4,3.005479452
2014,EASTERN,ALBANY,CORN,160,3.005479452
2014,EASTERN,FULTON,CORN,156,3.005479452
2014,EASTERN,OTHER (COMBINED) COUNTIES,CORN,142.6,3.005479452
2014,EASTERN,RENSSELAER,CORN,152.1,3.005479452
2014,EASTERN,SARATOGA,CORN,141,3.005479452
2014,NORTHERN,JEFFERSON,CORN,133.6,3.005479452
2014,NORTHERN,LEWIS,CORN,138,3.005479452
2014,NORTHERN,ST LAWRENCE,CORN,139.9,3.005479452
2014,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,138.9,3.005479452
2014,SOUTHEAST,ULSTER,CORN,153.3,3.005479452
2014,SOUTHERN,BROOME,CORN,158.3,3.005479452
2014,SOUTHERN,OTHER (COMBINED) COUNTIES,CORN,134.3,3.005479452
2014,SOUTHERN,SCHUYLER,CORN,145.5,3.005479452
2014,SOUTHERN,TIOGA,CORN,141.1,3.005479452
2014,SOUTHWEST,OTHER (COMBINED) COUNTIES,CORN,113.6,3.005479452
2014,SOUTHWEST,STEUBEN,CORN,130.8,3.005479452
2014,WESTERN,GENESEE,CORN,147.2,3.005479452
2014,WESTERN,MONROE,CORN,175.1,3.005479452
2014,WESTERN,NIAGARA,CORN,150.9,3.005479452
2014,WESTERN,ONTARIO,CORN,168.4,3.005479452
2014,WESTERN,OTHER (COMBINED) COUNTIES,CORN,155.2,3.005479452
2014,WESTERN,WAYNE,CORN,151,3.005479452
2014,WESTERN,YATES,CORN,168.3,3.005479452
2013,CENTRAL,CAYUGA,CORN,138.3,2.408219178
2013,CENTRAL,CHENANGO,CORN,124.5,2.408219178
2013,CENTRAL,CORTLAND,CORN,128,2.408219178
2013,CENTRAL,HERKIMER,CORN,106.9,2.408219178
2013,CENTRAL,ONEIDA,CORN,115.6,2.408219178
2013,CENTRAL,ONONDAGA,CORN,134.9,2.408219178
2013,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,100.8,2.408219178
2013,CENTRAL,OTSEGO,CORN,108.3,2.408219178
2013,EASTERN,ALBANY,CORN,118.8,2.408219178
2013,EASTERN,MONTGOMERY,CORN,109.6,2.408219178
2013,EASTERN,OTHER (COMBINED) COUNTIES,CORN,101.4,2.408219178
2013,EASTERN,RENSSELAER,CORN,120,2.408219178
2013,EASTERN,SARATOGA,CORN,120.2,2.408219178
2013,EASTERN,WASHINGTON,CORN,134.5,2.408219178
2013,LONG ISLAND,OTHER (COMBINED) COUNTIES,CORN,112,2.408219178
2013,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,139.9,2.408219178
2013,NORTHERN,JEFFERSON,CORN,110.9,2.408219178
2013,NORTHERN,LEWIS,CORN,122.6,2.408219178
2013,NORTHERN,ST LAWRENCE,CORN,120.2,2.408219178
2013,SOUTHEAST,COLUMBIA,CORN,142.6,2.408219178
2013,SOUTHEAST,DELAWARE,CORN,136.3,2.408219178
2013,SOUTHEAST,ORANGE,CORN,110.1,2.408219178
2013,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,124.6,2.408219178
2013,SOUTHEAST,ULSTER,CORN,138.8,2.408219178
2013,SOUTHERN,BROOME,CORN,129.1,2.408219178
2013,SOUTHERN,OTHER (COMBINED) COUNTIES,CORN,142.7,2.408219178
2013,SOUTHERN,SCHUYLER,CORN,150.6,2.408219178
2013,SOUTHERN,TIOGA,CORN,128.4,2.408219178
2013,SOUTHWEST,ALLEGANY,CORN,117.6,2.408219178
2013,SOUTHWEST,CATTARAUGUS,CORN,135.2,2.408219178
2013,SOUTHWEST,CHAUTAUQUA,CORN,138.6,2.408219178
2013,SOUTHWEST,STEUBEN,CORN,136,2.408219178
2013,WESTERN,ERIE,CORN,125.8,2.408219178
2013,WESTERN,GENESEE,CORN,136.5,2.408219178
2013,WESTERN,LIVINGSTON,CORN,162.2,2.408219178
2013,WESTERN,MONROE,CORN,153.1,2.408219178
2013,WESTERN,NIAGARA,CORN,133.8,2.408219178
2013,WESTERN,ONTARIO,CORN,163.3,2.408219178
2013,WESTERN,ORLEANS,CORN,144.5,2.408219178
2013,WESTERN,SENECA,CORN,165.5,2.408219178
2013,WESTERN,WAYNE,CORN,147.7,2.408219178
2013,WESTERN,WYOMING,CORN,139.3,2.408219178
2013,WESTERN,YATES,CORN,169,2.408219178
2012,CENTRAL,CAYUGA,CORN,143.6,3.704109589
2012,CENTRAL,CHENANGO,CORN,116.5,3.704109589
2012,CENTRAL,CORTLAND,CORN,136.5,3.704109589
2012,CENTRAL,HERKIMER,CORN,126.3,3.704109589
2012,CENTRAL,MADISON,CORN,129.2,3.704109589
2012,CENTRAL,ONEIDA,CORN,137.3,3.704109589
2012,CENTRAL,ONONDAGA,CORN,121.7,3.704109589
2012,CENTRAL,OSWEGO,CORN,105.8,3.704109589
2012,CENTRAL,OTSEGO,CORN,141.4,3.704109589
2012,EASTERN,ALBANY,CORN,123.9,3.704109589
2012,EASTERN,FULTON,CORN,84,3.704109589
2012,EASTERN,MONTGOMERY,CORN,125.1,3.704109589
2012,EASTERN,RENSSELAER,CORN,120.6,3.704109589
2012,EASTERN,SARATOGA,CORN,118.6,3.704109589
2012,EASTERN,SCHENECTADY,CORN,148,3.704109589
2012,EASTERN,SCHOHARIE,CORN,133.6,3.704109589
2012,EASTERN,WASHINGTON,CORN,122.2,3.704109589
2012,LONG ISLAND,SUFFOLK,CORN,152.7,3.704109589
2012,NORTHEAST,CLINTON,CORN,170.4,3.704109589
2012,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,145.7,3.704109589
2012,NORTHERN,JEFFERSON,CORN,124.6,3.704109589
2012,NORTHERN,LEWIS,CORN,128.2,3.704109589
2012,NORTHERN,ST LAWRENCE,CORN,119.3,3.704109589
2012,SOUTHEAST,COLUMBIA,CORN,118.3,3.704109589
2012,SOUTHEAST,DELAWARE,CORN,139.3,3.704109589
2012,SOUTHEAST,DUTCHESS,CORN,138.9,3.704109589
2012,SOUTHEAST,ORANGE,CORN,110,3.704109589
2012,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,126.7,3.704109589
2012,SOUTHEAST,ULSTER,CORN,176.4,3.704109589
2012,SOUTHERN,BROOME,CORN,101.4,3.704109589
2012,SOUTHERN,CHEMUNG,CORN,124.3,3.704109589
2012,SOUTHERN,SCHUYLER,CORN,121.9,3.704109589
2012,SOUTHERN,TIOGA,CORN,138.7,3.704109589
2012,SOUTHERN,TOMPKINS,CORN,121,3.704109589
2012,SOUTHWEST,CHAUTAUQUA,CORN,137.3,3.704109589
2012,SOUTHWEST,OTHER (COMBINED) COUNTIES,CORN,121.8,3.704109589
2012,SOUTHWEST,STEUBEN,CORN,137.2,3.704109589
2012,WESTERN,ERIE,CORN,113,3.704109589
2012,WESTERN,GENESEE,CORN,142,3.704109589
2012,WESTERN,LIVINGSTON,CORN,153.6,3.704109589
2012,WESTERN,MONROE,CORN,131.5,3.704109589
2012,WESTERN,NIAGARA,CORN,119.2,3.704109589
2012,WESTERN,ONTARIO,CORN,141.2,3.704109589
2012,WESTERN,ORLEANS,CORN,149.1,3.704109589
2012,WESTERN,SENECA,CORN,132.3,3.704109589
2012,WESTERN,WAYNE,CORN,132.1,3.704109589
2012,WESTERN,WYOMING,CORN,148.5,3.704109589
2012,WESTERN,YATES,CORN,138.1,3.704109589
2011,CENTRAL,CAYUGA,CORN,141.3,3.15890411
2011,CENTRAL,CORTLAND,CORN,145,3.15890411
2011,CENTRAL,HERKIMER,CORN,137.6,3.15890411
2011,CENTRAL,MADISON,CORN,137.7,3.15890411
2011,CENTRAL,ONEIDA,CORN,130.2,3.15890411
2011,CENTRAL,ONONDAGA,CORN,147.5,3.15890411
2011,CENTRAL,OSWEGO,CORN,114.9,3.15890411
2011,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,110.3,3.15890411
2011,EASTERN,ALBANY,CORN,93.3,3.15890411
2011,EASTERN,FULTON,CORN,101.1,3.15890411
2011,EASTERN,MONTGOMERY,CORN,120.3,3.15890411
2011,EASTERN,RENSSELAER,CORN,125.5,3.15890411
2011,EASTERN,SARATOGA,CORN,119.5,3.15890411
2011,EASTERN,SCHENECTADY,CORN,138,3.15890411
2011,EASTERN,SCHOHARIE,CORN,136.5,3.15890411
2011,EASTERN,WASHINGTON,CORN,125.6,3.15890411
2011,LONG ISLAND,SUFFOLK,CORN,128.3,3.15890411
2011,NORTHEAST,CLINTON,CORN,156.4,3.15890411
2011,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,127.6,3.15890411
2011,NORTHERN,JEFFERSON,CORN,132.6,3.15890411
2011,NORTHERN,LEWIS,CORN,136.7,3.15890411
2011,NORTHERN,ST LAWRENCE,CORN,136.4,3.15890411
2011,SOUTHEAST,COLUMBIA,CORN,121.2,3.15890411
2011,SOUTHEAST,DELAWARE,CORN,107.5,3.15890411
2011,SOUTHEAST,ORANGE,CORN,82.6,3.15890411
2011,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,141.4,3.15890411
2011,SOUTHERN,CHEMUNG,CORN,130.4,3.15890411
2011,SOUTHERN,OTHER (COMBINED) COUNTIES,CORN,118.9,3.15890411
2011,SOUTHERN,SCHUYLER,CORN,130.2,3.15890411
2011,SOUTHERN,TOMPKINS,CORN,128.8,3.15890411
2011,SOUTHWEST,ALLEGANY,CORN,127.6,3.15890411
2011,SOUTHWEST,CATTARAUGUS,CORN,143.9,3.15890411
2011,SOUTHWEST,CHAUTAUQUA,CORN,132.2,3.15890411
2011,SOUTHWEST,STEUBEN,CORN,116.8,3.15890411
2011,WESTERN,ERIE,CORN,121.8,3.15890411
2011,WESTERN,GENESEE,CORN,132.2,3.15890411
2011,WESTERN,LIVINGSTON,CORN,139.7,3.15890411
2011,WESTERN,MONROE,CORN,126.7,3.15890411
2011,WESTERN,NIAGARA,CORN,131.5,3.15890411
2011,WESTERN,ONTARIO,CORN,138.8,3.15890411
2011,WESTERN,ORLEANS,CORN,134.3,3.15890411
2011,WESTERN,SENECA,CORN,144.4,3.15890411
2011,WESTERN,WAYNE,CORN,138.5,3.15890411
2011,WESTERN,WYOMING,CORN,127.7,3.15890411
2011,WESTERN,YATES,CORN,135.1,3.15890411
2010,CENTRAL,CAYUGA,CORN,151,2.624657534
2010,CENTRAL,CHENANGO,CORN,129.5,2.624657534
2010,CENTRAL,CORTLAND,CORN,144.6,2.624657534
2010,CENTRAL,HERKIMER,CORN,136.1,2.624657534
2010,CENTRAL,MADISON,CORN,138.9,2.624657534
2010,CENTRAL,ONEIDA,CORN,142.2,2.624657534
2010,CENTRAL,ONONDAGA,CORN,146.7,2.624657534
2010,CENTRAL,OSWEGO,CORN,110.6,2.624657534
2010,CENTRAL,OTSEGO,CORN,138.9,2.624657534
2010,EASTERN,ALBANY,CORN,138.8,2.624657534
2010,EASTERN,FULTON,CORN,141.9,2.624657534
2010,EASTERN,MONTGOMERY,CORN,147.7,2.624657534
2010,EASTERN,RENSSELAER,CORN,112.9,2.624657534
2010,EASTERN,SARATOGA,CORN,149.2,2.624657534
2010,EASTERN,SCHENECTADY,CORN,149.8,2.624657534
2010,EASTERN,SCHOHARIE,CORN,150,2.624657534
2010,EASTERN,WASHINGTON,CORN,137.1,2.624657534
2010,LONG ISLAND,SUFFOLK,CORN,136.4,2.624657534
2010,NORTHEAST,CLINTON,CORN,175.2,2.624657534
2010,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,135.6,2.624657534
2010,NORTHERN,JEFFERSON,CORN,159.7,2.624657534
2010,NORTHERN,LEWIS,CORN,132,2.624657534
2010,NORTHERN,ST LAWRENCE,CORN,143.4,2.624657534
2010,SOUTHEAST,COLUMBIA,CORN,120.5,2.624657534
2010,SOUTHEAST,DELAWARE,CORN,126.4,2.624657534
2010,SOUTHEAST,DUTCHESS,CORN,146.5,2.624657534
2010,SOUTHEAST,ORANGE,CORN,118.8,2.624657534
2010,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,126,2.624657534
2010,SOUTHEAST,SULLIVAN,CORN,105.5,2.624657534
2010,SOUTHEAST,ULSTER,CORN,147,2.624657534
2010,SOUTHERN,BROOME,CORN,160.5,2.624657534
2010,SOUTHERN,CHEMUNG,CORN,139.5,2.624657534
2010,SOUTHERN,SCHUYLER,CORN,151.1,2.624657534
2010,SOUTHERN,TIOGA,CORN,143.1,2.624657534
2010,SOUTHERN,TOMPKINS,CORN,143.9,2.624657534
2010,SOUTHWEST,ALLEGANY,CORN,162.6,2.624657534
2010,SOUTHWEST,CATTARAUGUS,CORN,146.6,2.624657534
2010,SOUTHWEST,CHAUTAUQUA,CORN,166.6,2.624657534
2010,SOUTHWEST,STEUBEN,CORN,145.1,2.624657534
2010,WESTERN,ERIE,CORN,141.1,2.624657534
2010,WESTERN,GENESEE,CORN,145.6,2.624657534
2010,WESTERN,LIVINGSTON,CORN,165.6,2.624657534
2010,WESTERN,MONROE,CORN,156.9,2.624657534
2010,WESTERN,NIAGARA,CORN,148.7,2.624657534
2010,WESTERN,ONTARIO,CORN,157.1,2.624657534
2010,WESTERN,ORLEANS,CORN,150.8,2.624657534
2010,WESTERN,SENECA,CORN,168.8,2.624657534
2010,WESTERN,WAYNE,CORN,140.8,2.624657534
2010,WESTERN,WYOMING,CORN,153.2,2.624657534
2010,WESTERN,YATES,CORN,173.8,2.624657534
2009,CENTRAL,CAYUGA,CORN,141,3.021917808
2009,CENTRAL,CHENANGO,CORN,112,3.021917808
2009,CENTRAL,MADISON,CORN,135,3.021917808
2009,CENTRAL,ONEIDA,CORN,130,3.021917808
2009,CENTRAL,ONONDAGA,CORN,137,3.021917808
2009,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,134,3.021917808
2009,EASTERN,MONTGOMERY,CORN,98,3.021917808
2009,EASTERN,OTHER (COMBINED) COUNTIES,CORN,107,3.021917808
2009,EASTERN,SCHOHARIE,CORN,138,3.021917808
2009,NORTHERN,JEFFERSON,CORN,133,3.021917808
2009,NORTHERN,OTHER (COMBINED) COUNTIES,CORN,124,3.021917808
2009,SOUTHEAST,COLUMBIA,CORN,130,3.021917808
2009,SOUTHEAST,GREENE,CORN,69,3.021917808
2009,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,115,3.021917808
2009,SOUTHEAST,ULSTER,CORN,117,3.021917808
2009,SOUTHERN,OTHER (COMBINED) COUNTIES,CORN,139,3.021917808
2009,SOUTHERN,TIOGA,CORN,143,3.021917808
2009,SOUTHWEST,CHAUTAUQUA,CORN,142,3.021917808
2009,SOUTHWEST,OTHER (COMBINED) COUNTIES,CORN,134,3.021917808
2009,SOUTHWEST,STEUBEN,CORN,134,3.021917808
2009,WESTERN,ERIE,CORN,128,3.021917808
2009,WESTERN,GENESEE,CORN,139,3.021917808
2009,WESTERN,OTHER (COMBINED) COUNTIES,CORN,140,3.021917808
2009,WESTERN,WAYNE,CORN,133,3.021917808
2009,WESTERN,WYOMING,CORN,131,3.021917808
2009,WESTERN,YATES,CORN,148,3.021917808
2008,CENTRAL,CAYUGA,CORN,149,2.630136986
2008,CENTRAL,CHENANGO,CORN,121,2.630136986
2008,CENTRAL,CORTLAND,CORN,122,2.630136986
2008,CENTRAL,HERKIMER,CORN,138,2.630136986
2008,CENTRAL,MADISON,CORN,139,2.630136986
2008,CENTRAL,ONEIDA,CORN,133,2.630136986
2008,CENTRAL,ONONDAGA,CORN,146,2.630136986
2008,CENTRAL,OSWEGO,CORN,124,2.630136986
2008,CENTRAL,OTSEGO,CORN,129,2.630136986
2008,EASTERN,MONTGOMERY,CORN,141,2.630136986
2008,EASTERN,OTHER (COMBINED) COUNTIES,CORN,128,2.630136986
2008,EASTERN,RENSSELAER,CORN,140,2.630136986
2008,EASTERN,SARATOGA,CORN,146,2.630136986
2008,EASTERN,WASHINGTON,CORN,125,2.630136986
2008,NORTHERN,JEFFERSON,CORN,111,2.630136986
2008,NORTHERN,LEWIS,CORN,141,2.630136986
2008,NORTHERN,ST LAWRENCE,CORN,128,2.630136986
2008,SOUTHEAST,COLUMBIA,CORN,142,2.630136986
2008,SOUTHEAST,DELAWARE,CORN,103,2.630136986
2008,SOUTHEAST,DUTCHESS,CORN,147,2.630136986
2008,SOUTHEAST,ORANGE,CORN,108,2.630136986
2008,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,138,2.630136986
2008,SOUTHEAST,ULSTER,CORN,135,2.630136986
2008,SOUTHERN,BROOME,CORN,86,2.630136986
2008,SOUTHERN,CHEMUNG,CORN,146,2.630136986
2008,SOUTHERN,SCHUYLER,CORN,136,2.630136986
2008,SOUTHERN,TIOGA,CORN,136,2.630136986
